Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
84,10.869727,5.9620976,0.0,7.4805713,6.53741,25.695347,10.872116,1.6032889,8.399918,1.3388796,5.0692654,9.14539,21.599098,2.4793339,28.932238,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,1.7516904,18.038885,0.0,6.968737,10.638774,21.501102,16.34492,0.0,4.39819,17.220243,4.068698,22.10307,8.776869,16.338072,17.42999,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,14.703544,7.5467024,0.0,4.9684806,2.8734782,22.05783,10.265558,0.8460418,4.495636,2.5835214,3.0233557,8.881716,22.895908,2.4422054,33.821026,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,14.727257,3.6024542,0.24462928,5.997078,8.2904005,24.908827,8.190482,2.1864953,3.3568687,1.3987863,6.874547,12.089104,17.554413,0.0,31.066936,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,7.4172606,6.34213,0.0,3.5185056,6.70974,22.92872,12.433434,1.3740392,7.422406,3.0772524,3.1588323,11.658671,18.17579,1.7841773,27.892906,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
89,14.018753,9.521774,1.1637706,4.193933,1.8425584,24.143925,13.257438,0.946764,3.0760288,2.0759184,1.8652525,13.890914,21.142555,0.0,33.812202,0.767971135513676,0.8546362649294246,0.5324246995862538,0.6378243584561712
90,10.897377,3.865559,0.0,3.651027,5.865698,23.935022,10.183675,0.53032815,3.582302,1.480751,2.3559992,11.487665,19.483042,0.0,31.502573,0.706154736148328,0.8159091035240583,0.5460865357747106,0.5204250569687467
91,15.373071,5.4799967,2.6669674,0.0,5.8006363,23.527987,17.67689,1.772628,2.56559,1.6069777,3.2207363,8.636362,22.070147,4.5739846,27.349234,0.8300003452053717,0.8965284653465346,0.5819569877641975,0.7324326926638299
92,15.234435,5.2003493,0.0,1.816454,4.2235665,25.593348,12.65488,1.9006397,5.8598495,4.438999,4.9725714,11.853025,19.946217,2.4324503,30.284658,0.7800510110934097,0.86840091706104,0.6148656793529638,0.6155624020067704
94,11.642834,6.9629016,0.0,3.128982,5.6180067,26.769688,10.221688,4.0684357,4.5477357,1.9587381,4.6622105,10.31771,15.9577465,2.9803932,30.583622,0.7063016939692216,0.8050384894168511,0.4810053470110604,0.5259319201125593
95,7.297513,15.621756,0.0,7.0652494,6.0858665,31.70732,9.53612,2.104511,3.0138927,6.5379663,5.38669,16.996166,14.561347,0.63264525,32.026398,0.7068339931550885,0.7704032684452868,0.5203346388069301,0.4593901042285793
96,7.8188834,13.414721,0.0,4.4173517,7.7889137,28.831678,7.911242,0.21553251,3.2676344,1.3072946,3.3340144,13.24576,18.446259,0.0,32.801163,0.6473753805651484,0.7354716783343372,0.4828717504970568,0.5550493763780542
98,11.393843,3.9775724,4.726788,5.368488,1.9829586,23.342018,13.223422,2.3917456,5.5753713,4.127548,4.6839113,10.283426,21.938171,6.2762327,35.753403,0.6649692826073684,0.7383752600250121,0.3431109465597028,0.3780416285930453
100,10.158762,5.4000835,0.0,6.4528685,6.846909,28.66633,6.7345037,1.3683192,5.9365087,2.0015528,5.329446,12.786457,15.502298,8.709673,32.071953,0.8439434060228452,0.912285272887781,0.7764863613885269,0.7167883486728025
101,8.567861,5.4296975,0.76346177,9.096141,3.7620916,19.65835,11.206994,7.8764243,6.195285,6.886641,1.8702974,9.706397,18.4671,6.2099423,31.79887,0.7643828540556782,0.8415976148992389,0.6762989686571312,0.6748484808994527
102,5.965761,15.542996,0.6364857,9.340524,6.3720355,27.317596,7.621192,0.7298759,3.4704256,1.9840624,2.3731318,10.538339,17.257217,0.0,33.54147,0.8144546737857895,0.8870024289366184,0.6536466602743175,0.631077389152224
103,7.801825,12.720014,0.07666536,8.100145,2.0418684,23.393024,10.111576,7.1197357,7.940397,2.224292,7.0012026,9.84995,19.775463,15.085704,19.736261,0.7034165778218929,0.7954807098765432,0.4679450045598828,0.4411551159741513
