Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
50,0.65175724,0.36458102,0.09689519,0.4241958,0.51918554,0.15627521,0.8897904,0.13987863,0.13338375,0.24831894,0.85325456,0.61694646,0.59988034,0.30598637,0.082650766,1.900414737654321,2.444396219135802,0.9191117088346974,27.15607837731662
52,0.48178005,0.25135878,0.10414615,0.78463244,0.28925598,0.36465502,0.3987068,0.17184985,0.2381435,0.15318784,0.64546126,0.5140364,0.7740072,0.0860374,0.10886425,4.003665263463493,3.821989766294093,0.9468349311142172,85.77730040265791
53,0.67885876,0.43113306,0.29808754,0.5637816,0.30686933,0.13342017,0.5807067,0.06914264,0.09784526,0.152352,0.7803087,0.7716437,0.792022,0.10741648,0.14713986,2.018681200473305,3.239090680913622,0.9238619180453193,23.277641378764287
54,0.5814942,0.1658229,0.19247544,0.59882736,0.3515756,0.096942246,0.48550808,0.3455975,0.12277198,0.21710357,0.79027617,0.551077,0.73969764,0.105716854,0.046033993,4.024436755094195,4.350726643598616,0.94642861561911,61.95250471622135
56,0.6421715,0.089591354,0.2720663,0.61628747,0.7692735,0.17720562,0.4984188,0.10106218,0.2046172,0.21625063,0.7754916,0.6368901,0.8400013,0.24205628,0.24285133,3.247907495814992,2.5262105524211047,0.923049349441564,39.40099735918172
57,0.2930243,0.20169517,0.19485676,0.46698084,0.387448,0.22203052,0.6113559,0.10030174,0.16191721,0.2707958,0.44740087,0.22909462,0.67600787,0.14887112,0.07645863,4.567245180620724,5.585165922324608,0.9498850958631188,24.10777102432832
58,0.46570408,0.2278504,0.32339382,0.8521552,0.29651672,0.13045615,0.48660016,0.14013302,0.10596299,0.23391262,0.5781234,0.60470814,0.9051943,0.031639606,0.21401964,1.8552154195011337,2.287891156462585,0.9369170563227228,33.74801026292421
59,0.5241848,0.27605525,0.051905572,0.6543976,0.5165491,0.10724658,0.44070733,0.2839681,0.20892602,0.30207923,0.8225522,0.8919968,0.8491782,0.27652332,0.10189299,3.2401235173022256,4.821904715223997,0.9546133389380178,48.660075697796366
60,0.71715367,0.05627823,0.19712198,0.801016,0.34121323,0.39353418,0.7007661,0.60836077,0.23589408,0.40088305,0.9176196,0.4177904,0.8499733,0.13300154,0.0072361007,4.162078841958728,4.895881891737648,0.9451997602496632,53.2245233026687
61,0.45548987,0.070067644,0.05694875,0.47658363,0.3207971,0.24353313,0.05381471,0.1307528,0.12620878,0.018379569,0.51710695,0.38200283,0.6166908,0.1095362,0.05587764,3.0335683077338857,3.8350186928516736,0.938775693112606,50.62324372826803
