Paziente,767,781,2035,2034,2042,741,54,273,1960,294,1882,477,1953,1897,1910,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
33,13.507103,3.7733817,8.154103,1.5742702,13.301925,10.768932,34.458652,9.676208,7.467052,3.016121,0.0,13.764518,4.615026,11.186103,11.464204,4.296364226679047,4.548681085206851,0.9509208003971644,90.6299104713213
35,10.701137,1.4129719,10.667718,1.8824986,10.34453,6.704535,27.101599,13.33494,2.2759893,0.0,0.0,13.610446,4.0583553,8.0551195,8.374386,1.9138965835641737,2.7433056325023086,0.9299312617129912,25.437758966420706
36,11.368854,2.3746347,12.959024,6.5168633,10.300996,9.19552,33.29912,8.161103,7.803436,0.8254205,0.6067814,12.97742,0.0,10.765081,11.369278,2.6669376668729963,2.297188680814109,0.9459252857301176,37.40094478092042
38,9.287117,3.8335752,11.394187,6.0790296,15.464545,9.421792,29.18038,7.345587,8.82317,0.42569053,0.19207212,7.962016,4.387418,7.3454943,10.882643,4.081736775662116,3.8189964743820353,0.9312082999876398,72.26996384065792
39,11.7508955,2.8173995,15.152371,7.8191442,8.845695,5.87778,38.244724,8.427157,8.029692,3.312098,0.0,9.840051,4.159861,13.244342,9.688701,3.184625078764965,4.104127284183995,0.934983234825402,43.52469859371877
40,8.182416,2.9004526,17.569744,12.260671,8.995358,8.18046,33.837814,8.379803,2.7580914,0.31999826,0.2493167,15.072101,3.814981,13.961681,14.22358,2.1952545940967503,2.423358624621727,0.9382458974692588,26.29470435733485
41,12.404265,8.799901,9.259286,1.9505324,13.870698,4.339454,34.1648,6.523534,6.351172,1.9232743,0.0,11.898038,4.284763,5.672585,7.3389163,3.30594690403889,3.639275893078236,0.9210363536342456,30.90501244388865
42,6.675287,3.6495175,0.0,6.052508,18.293217,3.366961,12.591813,0.93410677,17.961325,0.0,11.836337,6.8120704,6.202515,0.0,17.422207,3.5329410873462788,3.606727102850938,0.9259408630169356,27.682704117302496
43,7.033512,5.6294484,1.2928089,9.638343,11.470426,9.820419,17.177607,1.7142057,16.388144,0.0,16.126848,5.8434095,4.9705644,1.5129349,16.939945,3.5102011545770737,2.9547133278353472,0.9287376541240822,30.82180281071585
44,6.9361167,1.5122571,9.198077,10.185468,7.30641,14.54,29.828106,12.443955,7.5477395,3.3446908,3.7970414,11.198679,1.9932418,18.120983,11.825583,1.3481,1.3041,0.917096076788918,22.78986095693928
46,15.5875435,1.845589,9.042954,2.101892,13.630201,9.733375,31.391582,11.866906,4.694728,2.708241,0.11564511,15.318527,6.1844873,10.111158,11.2529955,3.623805792073541,4.746858737859803,0.9539721753699162,34.67153633765198
47,11.053381,2.019868,10.6903305,5.1325088,7.0545516,8.331518,30.014034,11.5130625,6.9096894,0.0,0.0,13.390718,4.4303246,13.464627,16.539064,3.0243230251562245,2.7545842012498,0.9323555028205216,47.21812498457704
48,11.746336,2.4814324,8.302305,2.076131,10.443386,12.90951,28.995535,14.980671,7.1694837,1.074393,0.0,13.340503,5.4515305,14.97145,7.793437,2.6327370396515213,2.3567776036913965,0.9257462825044676,26.127250942087336
50,10.327734,4.238244,13.269911,6.4934373,6.20755,5.315168,30.122293,5.821482,5.230125,0.0,0.0,15.247022,1.2736423,6.5065556,11.711099,1.900414737654321,2.444396219135802,0.9191117088346974,27.15607837731662
52,19.020844,2.6100502,9.262928,0.8837612,13.708556,6.188884,26.901245,11.114678,3.9198148,0.0,0.13339135,10.853363,2.8845,7.844527,11.153792,4.003665263463493,3.821989766294093,0.9468349311142172,85.77730040265791
53,13.893604,4.2299747,8.96273,4.062902,9.368902,4.2342997,33.57206,7.8559604,5.3707585,3.0124886,0.0,10.640619,3.891185,15.593839,13.78413,2.018681200473305,3.239090680913622,0.9238619180453193,23.277641378764287
54,17.135838,0.52371526,13.553424,0.017909065,11.921158,7.5031433,32.395466,8.428814,1.2430034,2.5713377,1.7477295,10.850677,0.0,3.4284668,12.931908,4.024436755094195,4.350726643598616,0.94642861561911,61.95250471622135
56,9.7761965,4.245092,9.723277,8.45502,12.164382,12.25152,22.801542,4.694261,3.5015805,1.4509907,1.2643646,6.626731,1.5432775,3.1125088,14.428746,3.247907495814992,2.5262105524211047,0.923049349441564,39.40099735918172
57,6.334619,3.0208006,10.848902,12.758869,5.988788,7.3439527,30.794899,7.8603253,5.2017097,4.599842,0.17910013,5.9007587,1.9566672,16.758532,6.8055816,4.567245180620724,5.585165922324608,0.9498850958631188,24.10777102432832
58,12.202619,6.52104,13.104695,5.436735,7.5239215,2.5002003,34.348026,10.796963,6.2065086,0.8397465,1.73471,15.132069,0.6343993,12.921188,9.174223,1.8552154195011337,2.287891156462585,0.9369170563227228,33.74801026292421
59,15.78046,4.479205,9.000066,1.2883708,13.212823,5.2466726,32.64615,10.341049,1.8133113,1.3654066,0.0,13.196745,6.452313,4.681506,7.1723146,3.2401235173022256,4.821904715223997,0.9546133389380178,48.660075697796366
60,15.929251,1.0489235,13.503387,0.52772284,13.7669115,6.212423,29.801142,12.270432,1.219136,0.0,0.9355427,10.638757,0.0,7.0678377,9.034059,4.162078841958728,4.895881891737648,0.9451997602496632,53.2245233026687
61,10.575461,1.5365254,13.566197,6.473257,10.691948,5.5434923,30.920307,11.683148,3.8853135,1.0106168,0.0,8.187373,0.0,5.513745,10.4031515,3.0335683077338857,3.8350186928516736,0.938775693112606,50.62324372826803
62,14.820309,4.161427,15.489871,1.2824936,12.834796,7.226725,36.484844,9.514625,6.31429,0.0,0.0,18.181757,3.0425296,9.511146,15.812858,3.714379105912514,4.186803396891524,0.9401022378722974,40.71155662775966
64,13.012107,6.7490745,7.7411466,7.8253984,11.98203,12.787729,23.210913,3.5666468,4.0198865,0.0,1.4137944,3.0261781,2.2124043,7.2974997,15.744632,4.128813701973656,3.7865028265230256,0.9322202956951844,71.85878981104007
65,4.3626122,3.2795472,0.0,13.051386,15.840345,21.539677,16.933455,3.8255978,15.845132,0.0,16.456505,5.007719,0.0,0.0,14.005032,3.337819793836458,3.2115579768199543,0.9419478344340716,37.34695649646071
68,6.581025,3.0543098,13.054296,6.0338016,8.829688,9.784393,31.10628,11.829882,3.9406073,1.1772408,3.9536567,7.5393023,2.7538924,12.346174,8.300088,1.914731613523474,1.4555359717993912,0.9227813697146388,21.60670221430609
69,20.098837,2.287877,8.489098,0.5366907,14.975885,8.625672,31.82813,12.005975,6.7780294,0.22785659,0.0,9.368833,2.6987548,9.2662735,6.132883,3.986594458534353,4.145725672660705,0.9510561694592315,64.60498519925105
70,4.179281,5.090038,0.0,8.568999,15.179328,19.543615,20.439919,5.8856816,14.608949,0.0,21.079601,4.564436,4.8395057,0.0,19.149145,3.4982642146744234,3.678222931131544,0.9520855549071804,30.67742029810653
71,13.306021,6.873592,7.1162305,8.649645,11.286707,9.095103,23.377161,6.4086018,8.110384,0.8676199,1.8097591,6.9431314,2.0951622,5.208265,10.8984,4.477230933962337,5.174975364871471,0.9686312152097456,48.70236727640415
74,3.9333415,1.1448259,0.0,4.9268537,13.083725,22.805412,22.50959,5.3827314,12.177008,0.96437407,24.144682,3.8197324,6.9172277,0.0,22.753204,2.595449175088611,2.0753087574055025,0.9073764609042364,39.3076168397047
75,14.653317,1.708311,7.6717343,10.258345,12.139554,10.887567,31.31831,7.3582525,3.0373604,0.0,0.14197206,7.1032476,1.6099191,6.108085,12.520547,4.275497927516208,5.098582208523754,0.9487388398731184,56.70604563645827
76,0.0,0.0,0.0,11.122787,5.167918,4.045505,22.365551,2.083155,10.229015,0.0,0.23006,2.5124798,5.3928666,0.0,18.6853,3.3822265928264583,3.583458413125615,0.9290697861252488,43.245008754686175
78,9.430297,5.3096685,10.804104,4.071917,9.530118,8.600589,30.037031,5.0967975,6.532251,1.9433239,0.0,10.470167,3.4912724,9.9225,7.5786333,2.64764528400892,2.0508611157961805,0.9250708111693852,48.62082090122192
79,8.792388,3.0142999,13.276827,9.717895,12.491942,6.2051497,32.53687,6.616933,6.2768917,0.0,0.9511843,7.781993,2.1655505,5.9047356,12.693632,4.276668402499599,4.376972840890883,0.9541989947092804,64.8329261152096
81,13.313668,5.1380014,10.465485,4.5924544,7.9397993,9.283478,23.766157,5.5160832,4.940112,0.3313076,0.16177362,6.801332,3.289792,5.3268895,15.284046,3.098348348348348,2.353096339582826,0.9256010528885532,38.124274310437904
82,9.217339,4.017149,8.458764,5.0370693,5.2860208,5.447413,31.478703,9.4678135,8.116733,2.759664,0.0,8.671753,4.1014495,13.742574,7.919648,3.204838630366012,1.979183399170614,0.8940564626118581,34.05449117223396
84,10.869727,8.399918,8.922738,7.4805713,10.872116,5.9620976,28.932238,8.226291,7.8301635,0.0,0.9072498,10.915152,1.4416487,10.938291,12.751204,4.30454387790496,4.45379684228106,0.951381848997054,70.43229676891843
