Patient,Slice,Feature_194,Feature_129,Feature_655,Feature_414,Feature_1219,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
27.0,258.0,0.039841115,0.29675543,0.6415714,0.13885494,0.0,0.153083300303871,0.7288700467438798,2.666369401506143,2.591846677236095,28.130666619238788,73.0
27.0,259.0,0.13295849,0.24884857,0.58497655,0.111444205,0.0,0.150302241088658,0.7248782854500194,2.9060229872395835,2.5309450418888644,28.327973387134747,75.2
27.0,260.0,0.10973312,0.24627222,0.55741775,0.10753232,0.0,0.1416617707276256,0.72371646224637,2.8599682307955554,2.0394879737933738,28.21965351439386,76.0
27.0,261.0,0.12738304,0.3118487,0.5609199,0.12627038,0.0,0.1402908486085846,0.7316945667941797,3.120080775542331,2.041124301661847,27.969782698697824,77.0
29.0,170.0,0.07066342,0.17026313,0.4774977,0.3081855,0.0,0.1828727791266813,0.6273519948624192,3.699721226602947,3.822317287804627,27.272978039337488,61.7
29.0,169.0,0.082221046,0.1939234,0.47743478,0.344901,0.0,0.1880303956677439,0.5392977539733865,2.9119259323958424,3.904920953795092,28.3216682179136,64.0
29.0,168.0,0.05805902,0.17559464,0.4758754,0.34138575,0.0,0.1792858009125087,0.5227930320027128,3.784218031875076,3.2390965243537786,29.518494592495603,63.0
29.0,167.0,0.018846663,0.15828972,0.47082502,0.32773602,0.0,0.1709401709401709,0.5948425967679309,5.018116736065454,3.046606764555482,29.02997245824136,62.7
29.0,171.0,0.06248788,0.16032659,0.47242787,0.2698354,0.0,0.1637283637858486,0.6335574311783074,3.5973249467763337,4.044443850285252,26.306630607873664,58.6
30.0,259.0,0.15710288,0.37095982,0.4271465,0.31451985,0.0016732924,0.2103891665598701,0.4630460589548147,2.027681660899654,2.414285104019821,12.629507536033175,64.0
30.0,258.0,0.17094414,0.36633664,0.43834212,0.3457903,0.010081969,0.2529165352912031,0.4672880609743653,2.873564253862438,3.920634205666412,12.336533806071971,63.8
30.0,257.0,0.24736258,0.35479194,0.43265912,0.3496139,0.022918843,0.2516950468402257,0.5524921161637761,2.7471662957403864,3.691837896589204,12.374444519191687,65.0
30.0,252.0,0.122387975,0.2625525,0.43521023,0.36167172,0.0,0.1916089965397924,0.4579712741881997,1.0605536332179932,1.4046280276816607,14.047958095229406,64.0
