Paziente,243,451,509,593,629,1049,1116,1309,1614,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
111,2.875387,3.2058122,1.4709704,0.0,0.13334343,3.5927536,0.83658636,4.1163054,0.15918353,3.618479955736633,3.2940998943715103,0.92565309205148,34.38902772233704
112,2.0841498,11.946707,6.219836,0.69691736,0.11125529,3.890653,0.871557,4.114421,0.3593309,2.581701673193307,2.664115343538626,0.9134211889299776,38.000618858654576
113,5.360588,5.1731505,2.8695726,0.85573596,1.1861508,3.2115762,1.6622952,1.8890266,3.1196337,1.273740959894806,2.7790664036817887,0.9444265902417532,25.415938822451057
114,2.0491228,5.64911,2.4965284,1.2505314,0.76203674,2.892166,2.8276863,1.7709098,0.13731804,2.3136795639836043,2.629521192739066,0.9130142898412128,21.79925625723702
115,3.757325,2.9395168,1.0687256,0.8563307,1.0425689,1.570853,3.7547178,1.6448624,0.6465634,5.363359951886131,4.521225233051556,0.9583009437730298,90.18145564921336
116,7.8339877,6.1536713,6.039849,6.7046695,4.5664434,4.8694825,3.0331159,4.8428497,7.335014,1.712294952819453,2.8416869452565603,0.9247004441280572,26.84611752151532
117,5.0142646,22.163427,9.988846,7.6129246,5.292631,9.916224,4.819873,10.168911,6.785631,2.316080348602401,3.7119070393594784,0.9404863394112398,34.088811294799875
118,16.568811,2.8757484,1.4925781,34.597206,0.5575436,2.3373978,0.42663795,3.7849665,3.3673804,1.4947617888158429,1.154406298190082,0.9095131242562754,27.805932149354625
119,1.1368219,10.141649,1.4180809,1.1429014,3.7581758,6.8939066,3.7451887,1.5296912,1.1734593,3.2460651942953227,3.2354973298904524,0.9279042365600934,67.47692759453872
120,8.871532,7.327449,3.4161773,8.00687,4.639211,3.476281,1.8548578,4.8310366,2.4773219,4.511907672746833,5.656065767953881,0.9519386593561298,37.45555286431835
