Paziente,234,23,101,450,479,331,46,165,128,77,416,50,510,86,60,305,105,206,439,400,102,94,wavelet-HL_firstorder_Mean,wavelet-HH_firstorder_Kurtosis,wavelet-LH_firstorder_Mean,original_shape2D_MinorAxisLength,wavelet-HH_glszm_GrayLevelNonUniformity,wavelet-HL_firstorder_Median,wavelet-LL_glszm_LargeAreaLowGrayLevelEmphasis,wavelet-LL_glszm_GrayLevelNonUniformity
29,0.0,1.972745,6.7520056,107.73201,71.08244,21.171082,47.360058,0.0,12.625496,2.4788203,16.072596,0.0,18.899467,113.47712,38.69507,153.89035,1.4606384,0.0,84.928406,120.634735,0.0,29.299528,-0.3496685026685209,4.308971637409631,1.0398819789180789,26.306630607873664,8.5625,4.447041038835218,0.1672467431685358,7.375
30,21.129812,7.021311,0.0,9.244926,8.47687,5.100246,8.266427,0.0,17.80008,8.993778,27.544031,2.9270194,56.447723,12.903451,43.191193,45.99454,5.7896695,44.875996,38.719357,38.055176,0.0,9.462062,4.611498026658056,4.956977476767884,5.7599102973428415,12.963536199868912,4.5,3.584180444349009,0.1543879142810461,5.068965517241379
31,0.0,32.550835,0.0,93.27123,26.637804,21.038769,93.83778,0.0,0.0,5.2599173,40.79046,24.191519,56.654633,119.731964,90.86737,196.92944,0.0,0.0,131.10005,155.17842,7.0484633,53.9895,-6.234102775782155,3.5911025933319465,-4.673409420970415,19.63355092662695,14.855421686746988,13.905364420862917,0.0416720915045794,3.8503937007874014
33,1.9545492,3.3401265,0.0,54.126503,96.545105,41.469288,24.39465,0.0,4.204746,60.074112,22.475416,0.0,100.116455,69.381386,73.149704,153.8659,10.455701,55.915276,23.63617,136.59486,21.05929,62.40514,0.8148023132719631,7.073292068751639,1.2898649302949237,33.86961885053229,11.04255319148936,3.6702600459366375,0.1160617627463203,14.8544061302682
35,6.0805593,0.0,0.0,35.36674,48.28132,3.0633981,28.760975,0.0,1.8482614,6.865492,27.247978,0.0,85.982956,20.55754,14.650992,63.64206,9.825186,36.90965,9.177796,96.89725,6.4660788,40.84239,0.6955658182401662,6.588287495815141,5.254624743017337,20.93668900980452,8.52,3.5912320170111136,0.0424965480332723,5.358381502890174
36,0.0,15.969908,0.0,136.75029,60.943615,13.0702,81.512436,0.0,13.908348,20.650848,18.041458,26.846817,45.274998,54.700745,0.0,130.10487,56.376873,54.960285,38.39579,100.60502,13.409749,59.290062,5.4176438143636405,6.718213194822344,6.0398729938625175,20.684065050418152,7.95,6.626246336345437,0.0798120240146482,9.0
38,0.8532006,8.820348,2.2046866,2.8183856,16.070932,5.175331,25.50445,3.3949716,26.0176,7.1904755,11.578699,9.497355,41.020954,4.762188,40.375492,16.092754,34.116295,2.651206,33.508835,42.476177,16.867207,35.42067,3.476155910637573,4.647330862062689,3.98076135729479,26.386227610635537,13.0,3.2895001530852843,0.1639880023935933,12.403669724770642
39,14.735143,0.13796896,0.0,21.559566,13.860091,0.0,14.377872,1.3577173,0.0,7.99642,12.062269,0.0,19.451233,21.040146,19.350998,23.921703,42.54586,12.653536,26.333466,21.555557,0.0,36.025303,4.203441638563699,4.401174446066604,7.076225241528093,18.761320903979687,7.8,3.1342404915018225,0.1654937563594523,10.510416666666666
40,62.238518,0.0,9.401096,81.00451,57.13679,32.25133,38.17907,36.647156,39.963863,20.337543,81.21222,0.0,33.77913,23.50811,71.0963,94.80115,7.9634,26.29437,84.83429,35.816006,2.882396,22.349,3.3222874296244504,7.21294241101304,3.647577005651798,18.97789534862288,8.517241379310345,2.2087078614124773,0.0163258472762153,5.409836065573771
41,1.7419877,23.69984,0.0,18.966078,15.923317,16.273695,27.386955,0.0,7.418378,8.341878,15.556871,0.0,55.373867,5.1968136,34.814995,19.174913,22.660976,5.3468432,42.474407,19.764221,0.0,40.918854,1.6131378471077396,4.874330766245032,1.5271258174273494,17.467888561146292,2.8,1.073339583898402,0.0833597690873715,6.359550561797753
42,6.941099,13.236263,1.4094763,27.272419,19.597713,0.0,0.0,0.0,21.113531,8.182332,5.547987,0.0,26.64511,0.0,14.383968,36.37974,10.584076,1.3515503,37.525276,41.321945,0.0,7.26859,5.7450002326417,3.0947847256297574,3.1166851782785248,14.28763242510207,8.285714285714286,5.763371981079918,0.4368304769739269,7.0
43,3.2630908,8.242569,0.0,10.419111,6.3065815,0.0,4.668662,0.0,14.092597,2.34941,12.590451,0.0,11.151947,1.7664396,30.924494,6.9514313,17.376617,7.5376973,23.520313,24.401852,0.0,2.671844,4.188974548565691,2.751402317044741,2.7216096048065808,14.541794799539725,7.461538461538462,5.628629424843,0.0829266934155566,6.3097345132743365
44,0.0,0.0,0.0,68.37385,46.535103,66.924835,99.507866,0.0,0.0,47.439476,56.104828,24.054344,56.45533,56.627728,132.77242,70.79787,0.0,28.405054,81.48778,36.41797,0.0,40.433258,-1.9966552321449416,4.092538135039617,1.961110429915398,21.741793526148246,12.841269841269842,6.339292964360001,0.1505518426081094,4.269461077844311
46,16.388916,0.0,0.0,46.38238,24.822361,0.0,25.468843,0.0,15.895802,0.0,22.168894,4.887633,32.712765,30.89036,29.752909,57.3204,38.048183,10.950334,43.05135,11.189427,0.0,22.876604,4.025969701504912,10.030799230102067,4.326693466780765,22.28942818364777,6.285714285714286,3.85508330563251,0.5357819186844037,9.813186813186814
47,0.0,18.499447,0.0,52.938282,84.32593,50.147377,116.076584,4.9345927,0.0,27.253735,42.956226,0.0,102.442314,139.92494,24.914118,197.093,16.562075,92.81429,40.05833,61.15615,60.642345,76.735,1.4056298908136995,6.714026734957769,-0.059775065780207,19.771699740862232,6.769230769230769,2.399817765853981,0.0425639628868084,8.976377952755906
48,5.5786686,2.7034347,0.0,4.14312,9.086306,10.529501,3.955536,0.0,0.0,15.045293,9.234294,0.0,13.582353,6.0571804,6.454915,40.196938,25.460842,0.0,34.795376,70.72629,0.0,16.097715,7.443338062472389,5.496049892042493,6.775587670893917,24.610068840614225,5.307692307692308,9.476728775980993,0.0341883583304559,7.142857142857143
50,1.5099756,0.0,10.832743,40.42806,55.46968,20.895317,22.005278,0.0,31.360981,18.475174,57.45606,10.628304,24.967783,46.614777,39.07964,123.92294,0.031846788,10.883713,107.10917,92.371864,0.0,33.16706,2.61165337079662,5.463944278061639,1.0154758943208075,20.603509583131054,6.823529411764706,9.161747481886994,0.0238469251141408,5.573991031390134
52,11.626952,38.471725,17.76279,27.95612,32.23274,25.93981,15.926327,0.0,9.328548,10.927267,17.450825,38.87045,31.376766,36.952045,64.12935,49.74124,18.0824,8.854924,39.261414,61.44544,0.0,108.08675,1.91564976277164,7.676576117900627,-0.5356475353903117,28.08497752986976,12.304347826086955,4.932000588147506,0.1698108999271291,16.863517060367453
53,0.0,1.2024224,0.0,109.962585,142.06723,0.0,73.77873,0.0,0.0,33.42826,46.712997,23.65615,116.91116,122.86757,0.0,200.57063,0.0,4.418737,81.097755,391.08923,0.0,117.429016,-4.242891458272732,4.801270510431532,-7.523441035369313,22.198826671727108,10.06122448979592,2.463005797893489,0.0896575696380018,5.213740458015267
54,5.0727944,14.99202,0.0,25.8982,22.963388,14.501264,3.6976779,1.8440385,5.0589113,30.206196,22.305958,0.0,31.206795,1.7081951,16.641928,10.089886,15.585686,6.142791,34.738075,54.591934,10.296027,14.86003,-0.0809567326457699,9.860532119062292,-0.971752289598346,26.02100305117055,6.125,3.4710445024543835,0.0807176603251239,12.834757834757834
56,16.858622,0.0,4.7259693,48.21829,10.072752,46.64922,45.325302,0.0,25.119879,43.973812,14.801473,0.0,41.56038,74.33433,9.817863,108.145424,41.686157,11.117712,24.21722,110.33169,0.0,91.87821,0.3053032578916776,5.146535174926174,-0.456197224332878,19.936600742732256,14.068493150684931,3.9131738549926673,0.014603336772533,8.852791878172589
57,14.134645,0.0,0.0,29.764725,55.00667,5.8504524,67.80024,18.485949,13.9859915,4.6241436,84.43489,26.791485,43.938255,37.239765,0.0,105.26294,9.802488,5.0009556,71.17733,81.65403,0.0,41.52686,1.972135031033996,5.264636768293936,1.6719362737890184,17.329525517706188,3.933333333333333,4.892191886571683,0.1084773789283077,5.919254658385094
