Paziente,1700,101,856,807,1386,1500,1261,85,1199,944,120,116,1120,619,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
76,3.4260073,16.320305,11.910689,7.1770716,0.46951675,3.8896942,5.1507473,1.6257865,0.5469911,0.8280731,1.8889172,1.7902002,3.809142,4.784903,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,3.3845344,16.424664,12.013315,7.0466995,0.5993899,3.8567467,4.9843135,1.6243548,0.54093647,0.80851585,1.8798385,1.8213294,3.8195014,4.760752,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,3.4338617,16.282162,11.962229,7.0963783,0.4837463,3.8293815,4.983981,1.6857326,0.4941125,0.77007157,1.7938571,1.8721457,3.788488,4.742511,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
81,3.416874,16.295797,11.891335,7.0937395,0.41165376,3.878799,5.023242,1.5725808,0.4793645,0.80812055,1.8729992,1.8474989,3.9321876,4.852894,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,3.4194841,16.321787,11.951653,7.051153,0.42309833,3.8586712,4.981499,1.5966096,0.49581182,0.8172682,1.8299074,1.8280592,3.8028483,4.7496867,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
84,3.4370122,16.346468,12.066086,7.118083,0.42147458,3.9069362,5.014932,1.6216638,0.5175009,0.85919183,1.8056138,1.813242,3.8116398,4.729176,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,3.2672296,16.436983,11.81616,6.983514,0.6324228,3.891099,4.8957596,1.5754843,0.5472542,0.80906886,1.8941131,1.8482828,3.810112,4.8150377,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,3.2839174,16.299078,11.952669,7.042639,0.36974418,3.9048672,4.971433,1.5605175,0.48527503,0.7915279,1.8066802,1.8443692,3.803358,4.760239,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,3.423193,16.350054,11.930308,7.036849,0.44365323,3.8029337,5.0068026,1.6208789,0.46681273,0.8075767,1.8841166,1.8243845,3.8350058,4.766149,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,3.4095354,16.316174,11.860254,7.179497,0.4136721,3.9351745,5.015971,1.5923438,0.48615527,0.87467414,2.0098512,1.9033136,3.9663343,4.8959627,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
