Patient,Slice,Feature_1005,Feature_853,Feature_62,Feature_804,Feature_5,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
38.0,220.0,6.4655128,4.231357,15.354737,10.0201235,42.239876,0.3088431724315231,0.5551739847132573,4.183301756562659,3.768232092058861,26.931353910789525,29.200000000000003
38.0,219.0,6.4380293,4.181551,15.113084,9.955281,42.151413,0.3110374999999999,0.4953132249767744,3.9154,3.688975,26.731210499858125,28.0
38.0,218.0,6.428448,4.172683,15.112174,9.778931,42.38022,0.376414667270258,0.4704527136072768,3.881479176097782,3.4817507922136715,26.854600222084688,24.0
39.0,254.0,6.40665,4.627835,17.147923,10.375086,45.443924,0.3366939718546524,0.4507080133740984,4.104127284183995,3.184625078764965,18.761320903979687,46.5
39.0,253.0,6.3833146,4.6272073,17.144106,10.487511,45.54557,0.3240903738056793,0.3988822819134895,3.270793623814785,3.6465417814954657,21.32562746265561,46.0
39.0,252.0,6.329384,4.5957556,17.025515,10.447262,45.511444,0.28289794921875,0.3965012874001832,4.023193359375,3.14544677734375,24.51052048376292,46.0
39.0,251.0,6.300361,4.576829,16.949926,10.75844,45.204018,0.2669987433572045,0.4185584774804746,2.805674574936789,2.605217338642523,26.37154775309592,47.6
39.0,250.0,6.255607,4.5356054,16.742764,11.167011,44.378296,0.220672,0.3833790684206455,2.7776,2.907456,27.55942149648893,42.0
40.0,128.0,6.8261757,4.3885345,16.501638,10.936329,41.442665,0.1220999078987763,0.5867092804445884,2.423358624621727,2.1952545940967503,18.97789534862288,57.1
40.0,124.0,6.822298,4.342994,16.388002,9.821121,41.311157,0.1218988581625944,0.5351622883651268,3.226770787210348,1.6387178145419905,20.825148128654508,55.2
40.0,125.0,6.8365946,4.3748493,16.461695,10.053707,41.17106,0.1212105066865576,0.5265315269728175,2.686504342266504,2.1832276626351965,20.02608535342644,54.6
40.0,126.0,6.8327703,4.3767195,16.683992,10.571353,41.21036,0.1195682980194764,0.5607018406798443,2.136539355394574,2.25550680769536,19.70931239782185,55.6
40.0,127.0,6.8319664,4.3901196,16.539482,10.848921,41.279964,0.1289888504421376,0.5563183808796484,1.7619718911529754,2.1434063821607072,19.3066627119007,59.5
41.0,304.0,5.823537,4.0862284,14.317988,7.7391205,42.856655,0.2060297520661157,0.4708725209040868,2.475715702479339,2.985044628099174,18.39674141207843,64.0
41.0,306.0,5.8901563,4.179694,14.531785,7.791086,43.16709,0.243718820861678,0.4237794469427431,3.408515998992189,3.531428571428572,18.78096644859352,48.8
41.0,305.0,5.858197,4.1377683,14.407097,7.8165607,42.964798,0.2138025683756494,0.4435716003688279,3.035606530950125,3.1190406169329803,18.50967435661457,62.0
41.0,303.0,5.825483,4.0876822,14.250244,7.755251,42.977253,0.1992190367140822,0.4717375175386266,2.1427166365731565,2.68278504425948,18.758693003486925,66.0
41.0,307.0,5.9150877,4.226755,14.45708,7.7286854,43.0314,0.2446882484740786,0.4458699542347502,3.729406960188078,3.518106864162647,18.50397080491793,33.0
42.0,133.0,3.0651665,0.6844028,8.8665495,3.3015904,15.997618,0.2799928800284799,0.5363065214296934,2.5082769668921325,3.288091847632609,18.223004098958288,55.0
42.0,134.0,3.1688266,0.5330845,8.614833,3.183568,16.5833,0.3126520894242048,0.5285889715564681,3.422068941370074,3.252078920186972,16.009552406012308,52.0
42.0,132.0,2.6937652,0.19647563,9.508026,3.2828102,16.082218,0.2278013491651658,0.5518031498807188,2.699429199352889,2.7279997558072098,20.036548121543152,50.0
