Patient,Slice,Feature_494,Feature_435,Feature_305,Feature_74,Feature_213,Feature_398,Feature_39,Feature_472,Feature_355,Feature_249,Feature_319,Feature_308,Feature_176,Feature_493,Feature_32,Feature_474,Feature_137,Feature_29,Feature_117,Feature_452,Feature_349,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
23.0,258.0,1897.1633,511.19678,1726.3945,828.6319,730.3286,2528.5293,1675.4833,648.8132,0.0,221.36617,130.9495,0.0,635.0369,631.7631,27.957165,70.36332,114.91177,14.148273,161.80418,284.4849,0.0,0.4184243460211837,0.4396511069200739,3.7236653337810206,2.934098470742652,20.597775757898827,37.1
23.0,259.0,1941.9137,434.62112,1761.6224,858.47064,805.24384,2641.5774,1498.0734,706.5844,0.0,313.6155,127.246056,0.0,718.3908,584.9831,18.612978,53.458866,155.09709,86.48209,355.85712,231.54831,0.0,0.408137326515705,0.4550013929791334,3.0489408327246164,3.105478451424398,20.979144153926505,42.0
23.0,260.0,1988.5587,399.1418,1584.1989,768.8094,894.853,2752.8105,1233.8015,642.1801,0.0,347.07742,119.632805,0.0,774.3229,594.25916,14.566142,5.5079193,37.382805,0.0,612.3578,296.6838,0.0,0.3790577777777777,0.4298475077589395,3.2172373333333337,3.6461795555555554,21.416119520873803,40.0
23.0,261.0,2062.6533,408.82794,1499.4668,728.221,816.703,2839.6592,918.5843,589.15216,0.0,389.06223,138.18748,0.0,594.0018,602.10333,13.843282,40.971535,0.0,0.0,576.92914,249.16322,0.0,0.3820239334027055,0.4340973511735777,4.128569776852816,3.898340848653024,21.365976709483643,36.0
23.0,262.0,2200.4946,411.40967,1355.7014,628.19684,879.6026,2896.4297,806.70233,514.19745,0.0,458.64853,120.08205,0.0,281.6115,595.05927,22.91467,101.015434,0.0,0.0,490.17856,133.91554,0.0,0.3934609346697258,0.4268193102096991,4.454564666103128,4.270800627943485,21.235861145493296,34.300000000000004
24.0,137.0,314.62506,0.0,1228.6315,943.9596,177.77242,422.25995,543.8554,421.1376,14.072199,49.617245,27.031311,0.0,0.0,217.21014,201.92363,673.6165,177.6667,441.45282,122.10535,0.0,147.66338,0.2474673008323424,0.5468091614545758,3.254411414982164,2.841189060642092,38.038999366531336,41.900000000000006
24.0,135.0,338.01166,0.0,777.546,1071.3005,336.8814,437.93875,347.64615,425.68042,162.2801,12.2101755,25.914646,0.0,0.0,225.98688,173.24979,429.88498,262.34558,280.1095,128.37596,0.0,0.0,0.2760423897450136,0.5524222912063468,3.7260863529085104,2.8707482993197284,37.2412961759734,39.0
24.0,138.0,380.8358,0.0,1178.313,740.3788,138.56161,461.47635,590.36646,312.83362,0.0,33.281574,33.368237,0.0,0.0,185.15686,180.14395,679.3893,178.94121,320.60706,113.14711,0.0,48.297676,0.2512170518836893,0.5333035706362216,3.516687864567343,2.9516687864567337,38.49672591490535,43.1
24.0,139.0,394.62955,0.0,974.85516,581.42883,221.45177,339.83755,616.41003,357.83093,27.48619,33.27963,54.034325,0.0,0.0,178.74258,164.06236,459.83246,225.72247,197.56862,88.6507,0.0,0.0,0.246429010861176,0.5664469149561875,3.277055066498138,3.0788022505341104,37.991417873636536,44.2
24.0,134.0,254.84567,0.0,991.45996,848.5606,319.21808,464.9628,383.59247,399.50507,118.6684,31.043125,20.502995,0.0,0.0,216.55075,184.7532,426.5679,305.54034,293.564,124.42618,9.923274,0.0,0.2688754264347023,0.5450675622731309,3.246488363340577,2.9939176146365742,36.37004715886152,45.2
25.0,195.0,1296.7594,391.79276,1802.6224,1615.6757,808.74524,1946.3229,982.6293,429.17258,0.0,0.0,212.38254,0.0,0.0,653.42285,0.0,136.46927,327.01773,542.4652,42.821754,0.0,0.0,0.1271626297577854,0.4598424514584613,1.9796712802768168,1.7060986159169549,22.92819665161845,29.0
25.0,197.0,1355.8497,389.88568,1686.2131,1614.6658,845.92285,1974.5316,946.75073,359.38705,0.0,0.0,218.5716,0.0,0.0,663.9312,0.0,120.97844,119.01323,416.5763,147.60948,0.0,0.0,0.1299510964526835,0.5639131518526221,1.6868518729128112,1.8653446511098932,21.657093123556155,24.0
