Paziente,31,167,618,781,808,1065,1135,1195,1200,1518,1935,438,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
30,0.72685504,1.6320865,1.0049273,0.9915749,0.0,0.75680375,1.0124809,2.8194122,2.2923613,0.6538935,1.1113677,0.012490973,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,0.7088039,1.2913108,0.27309757,1.0950073,0.0,0.6315484,0.6868746,2.8981187,1.4734681,0.791232,0.90396696,0.44120884,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,0.9370624,1.6122758,0.68833053,1.4876502,0.5448396,0.57518154,0.4495536,2.2119763,1.8590263,0.48322663,0.8825138,0.40175956,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,1.0242653,1.019662,0.66171086,1.2203506,0.0,0.69345623,0.69784117,2.8839815,1.6010376,0.8844441,0.428764,0.3720907,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,0.6511742,1.8952594,0.29503226,0.8366941,0.0,0.30435622,0.33695203,2.99015,0.96012723,0.7837982,0.71139723,0.6519302,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,0.68526113,1.4713273,0.7013958,1.4991523,0.082716495,0.91210884,0.37254673,3.4772344,1.6770592,0.29109916,0.46140265,0.88639766,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,0.5673202,1.6414884,0.7448819,1.4015505,0.39227253,0.7235547,0.58140665,2.356955,1.7563106,0.8589525,1.3934468,0.27445567,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,0.8286755,1.6475435,0.3739854,1.0385201,0.0,0.7117964,0.4994399,3.3855696,1.7969038,0.594586,0.3270836,0.3727103,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,1.4133259,1.6976177,0.22658946,1.9607446,0.9617605,0.738853,0.0,2.299846,2.285819,0.44510588,2.076864,0.37425262,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,1.1431098,0.7695259,0.32154608,2.0166132,0.0,0.45494688,0.0,0.8647276,1.704035,0.3296021,3.1439376,1.7832029,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,1.6424509,1.3469664,0.04899101,1.4417957,0.18894787,0.2767815,0.3446203,1.6342407,1.4277762,0.28806132,2.2377546,1.6407942,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,1.6814172,1.5778781,1.0401547,1.0678549,0.0,0.677794,1.0682588,2.9176934,1.4985875,1.0865794,1.1063291,0.5559591,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
46,0.9468249,1.6188456,0.4341238,1.3999833,0.0,0.7035479,0.36378443,2.9958007,1.40671,0.5537287,0.25802416,0.5069843,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,0.8177823,1.492967,0.4663629,0.85503125,0.0,0.5999429,0.78167474,2.9968288,1.7254686,0.9877974,0.6534594,0.2774787,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,0.8426347,1.055484,0.34205967,1.1779454,0.0,0.6932733,0.39162433,2.8824759,1.5887835,0.6462462,0.30798572,0.44763684,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,0.71697557,1.5600343,0.09845902,2.0567706,0.36573362,0.67408776,0.0,1.872552,2.8654628,0.64563763,0.90799135,0.4470122,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,0.9671564,1.104479,0.6248273,1.563483,0.0,0.75967187,0.3530298,3.2027962,1.2722179,0.5700846,0.524259,0.4463839,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,1.0211297,1.3887284,0.9917417,1.6900688,0.17563732,0.5906606,0.17185627,2.3711846,1.9143671,0.4509146,0.8880318,0.15607996,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
54,0.78565466,0.70700324,0.54787403,1.9924514,0.0,0.89015776,0.42145956,2.987235,1.4613708,0.3064717,0.5616957,0.8061359,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,0.91028345,1.6521292,0.41719717,1.8800626,0.51217556,1.1022885,0.053795993,2.489887,2.183548,0.50690484,1.1618279,0.33309478,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,0.59047365,1.6200442,0.66001713,1.512357,0.0,0.93088466,0.1410469,2.4621148,1.1203091,0.6955024,0.78358907,0.38936782,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,0.6962279,1.2390971,0.69119346,1.6288499,0.10148491,0.48252207,0.20958064,2.3355522,1.550608,0.71997106,0.8098964,0.13681583,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,1.0731287,1.2521745,0.34224015,1.7922261,0.704773,0.9219803,0.15541403,2.215926,2.498917,0.9384575,1.5585791,0.5160374,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,0.79099333,0.79771143,0.5133942,1.468753,0.0,0.94596463,0.26502562,3.1531065,1.7721202,0.9130268,0.09199764,0.81986797,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,1.0073521,1.5194048,0.31924736,0.83831,0.0,0.670474,0.07492535,4.123767,1.5192919,1.2193631,1.0592155,0.04851301,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,0.7155628,1.942584,0.0,1.5633336,0.19474937,0.7147879,0.15911226,2.0390835,1.4644684,0.36156216,0.93496305,0.9394308,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,1.179478,1.4735402,0.6178798,1.723646,0.40930808,0.8805743,0.3422575,2.7307866,1.7890139,0.31946272,0.9403637,0.5122048,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,0.8647616,1.5564603,1.3080223,2.3738127,0.91156673,0.44133174,0.11249173,1.2331464,1.1560031,0.8985604,3.310262,2.3192146,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,0.93535125,1.5996385,0.5224406,0.756862,0.0,0.5248433,0.3195629,3.6074667,1.3965275,1.0028262,0.6146455,0.09563394,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,0.6551621,1.1973828,0.5871115,1.4304862,0.0,0.72648877,0.14458726,3.0206304,1.3436813,0.39503857,0.34706944,0.6114953,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,1.2018986,1.5412093,0.7232318,1.9127524,0.039432347,0.79797965,0.0,0.9252493,0.98610413,0.46901962,2.9597652,2.6172366,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,1.0384473,1.018829,0.5460767,1.8036882,0.0,0.782939,0.11341168,2.400212,2.4139318,0.79205513,0.9618017,0.71110064,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,2.5419335,0.3104868,2.00158,1.4025195,0.4877652,0.7649132,0.5350221,1.337715,0.6424416,1.1269783,0.7346765,0.9355114,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,0.74234784,1.5804276,0.42484206,1.6608417,0.0,0.62917405,0.41799313,2.95161,1.4481603,0.5441921,0.40398145,0.90377265,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
76,1.9315771,0.6990653,1.3458027,3.2344582,0.3208682,0.8018769,1.126141,1.0069637,1.5296272,1.0542426,0.0,1.421005,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,1.2512807,1.0762564,0.8941304,1.720508,0.76394427,0.8348739,0.3429895,2.3814378,1.9565638,0.8998271,1.4922209,0.07921763,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,0.80631745,1.6891439,0.14450483,1.1697786,0.0,0.6346438,0.14021103,3.1576345,0.71178573,0.23052755,0.23646747,0.5840385,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
