Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
54,0.5814942,0.1658229,0.19247544,0.59882736,0.3515756,0.096942246,0.48550808,0.3455975,0.12277198,0.21710357,0.79027617,0.551077,0.73969764,0.105716854,0.046033993,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,0.6421715,0.089591354,0.2720663,0.61628747,0.7692735,0.17720562,0.4984188,0.10106218,0.2046172,0.21625063,0.7754916,0.6368901,0.8400013,0.24205628,0.24285133,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,0.2930243,0.20169517,0.19485676,0.46698084,0.387448,0.22203052,0.6113559,0.10030174,0.16191721,0.2707958,0.44740087,0.22909462,0.67600787,0.14887112,0.07645863,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,0.46570408,0.2278504,0.32339382,0.8521552,0.29651672,0.13045615,0.48660016,0.14013302,0.10596299,0.23391262,0.5781234,0.60470814,0.9051943,0.031639606,0.21401964,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,0.5241848,0.27605525,0.051905572,0.6543976,0.5165491,0.10724658,0.44070733,0.2839681,0.20892602,0.30207923,0.8225522,0.8919968,0.8491782,0.27652332,0.10189299,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,0.71715367,0.05627823,0.19712198,0.801016,0.34121323,0.39353418,0.7007661,0.60836077,0.23589408,0.40088305,0.9176196,0.4177904,0.8499733,0.13300154,0.0072361007,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,0.45548987,0.070067644,0.05694875,0.47658363,0.3207971,0.24353313,0.05381471,0.1307528,0.12620878,0.018379569,0.51710695,0.38200283,0.6166908,0.1095362,0.05587764,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,0.4690646,0.2788233,0.031969815,0.5862261,0.5609976,0.21565348,0.43510735,0.2112639,0.09166032,0.25989857,0.7266659,0.8322863,0.67665344,0.19611576,0.052946925,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,0.4042735,0.5989661,0.3807432,0.7674546,0.28363442,0.16631955,0.87693226,0.39526308,0.22462183,0.12964204,0.6348179,0.42955756,0.5770323,0.22171971,0.09805103,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,0.0,1.1994597,0.69902325,0.27420208,1.395807,0.19882274,0.7141336,1.2625244,0.26568192,1.4963852,0.0,0.64100736,0.3613262,1.6355144,0.72580147,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,0.37480545,0.1520547,0.0,0.5690758,0.39787573,0.37491894,0.09241474,0.0853889,0.21204734,0.15284124,0.5168276,0.5883637,0.8491411,0.0023503304,0.0,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,0.5406585,0.37589726,0.17156255,0.82723856,0.24711502,0.42175138,0.43659437,0.3533305,0.23087037,0.25774452,0.7174631,0.41855198,0.9001654,0.064211965,0.24411355,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,0.0,0.0,0.24156171,2.1421096,2.789723,0.004014313,1.1689477,0.7828413,0.28191173,1.5426075,0.7670399,3.0177717,1.1106364,1.7888936,0.09037331,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,0.67168117,0.07357475,0.22317243,0.4022834,0.43538684,0.081160545,0.43892026,0.19066143,0.021057725,0.51033485,0.9772849,0.56597733,0.73170936,0.15729707,0.11169253,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,0.0,0.7115133,0.31189418,0.5078598,0.7422738,0.097869694,0.2850207,0.009722352,0.4887877,0.4226773,0.0,0.8100676,0.27365738,0.6545682,0.42295605,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,0.5805087,0.3373622,0.26586354,0.7056701,0.36094487,0.28040636,0.34655106,0.28003585,0.28457266,0.24346724,0.7927669,0.79441184,0.7991595,0.121078104,0.13416697,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
76,0.3894173,1.1607964,0.2967806,1.6710637,1.7344856,0.3545308,1.1458678,0.6009749,0.059019923,0.7070495,0.6584674,1.4030232,0.9191712,1.083725,0.2524253,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,0.5444727,0.512161,0.31276214,0.90992665,0.4550259,0.032614827,0.45359242,0.29387474,0.0,0.22673753,0.80596924,0.96341604,0.9303098,0.42014673,0.24384277,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,0.34252262,0.0,0.0,0.67928505,0.5124605,0.31692255,0.016468883,0.14189565,0.33717865,0.034309983,0.5169258,0.40262073,0.59042966,0.05542752,0.0,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
81,0.5150392,0.0,0.23210734,0.53510237,0.3266713,0.048469007,0.3141544,0.12551725,0.09231949,0.18203428,0.8833946,0.3429727,0.6461965,0.45591643,0.009340219,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,0.26962852,0.05261922,0.032168478,0.34208003,0.44633126,0.35571074,0.56760335,0.18105662,0.08681691,0.40158972,0.7010567,0.72932154,0.60894924,0.15698117,0.10915533,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
84,0.617216,0.0038461685,0.25824696,0.5086248,0.4174654,0.17547339,0.40140617,0.24975586,0.21862882,0.45236483,0.8048185,0.76957995,0.7607297,0.10032812,0.02911143,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,0.0,0.49871376,0.0,1.8802526,0.6951839,0.11630523,2.6374075,0.5217775,0.4094478,2.3827188,0.57698005,0.8345315,0.12275323,2.102215,0.60472167,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,0.516155,0.23936448,0.1398074,0.46961024,0.43501616,0.09149027,0.4352864,0.06589395,0.12893307,0.33043876,0.8981002,0.75128335,0.7838422,0.23284128,0.05517289,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,0.68013334,0.23562148,0.22362638,0.9919224,0.32276028,0.43437254,0.8963989,0.45705485,0.24546194,0.5009985,0.79661745,0.52438855,0.97440356,0.096159786,0.1702138,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,0.60210323,0.062025964,0.11349568,0.49278495,0.5551301,0.19439954,0.43304026,0.27848804,0.14559072,0.46244833,0.93537986,0.444843,0.75506413,0.2667869,0.017141849,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
89,0.0086634755,0.19765773,0.015659273,1.0908837,1.1935859,0.49809885,0.15643227,0.17144871,0.24685979,0.31631514,0.65136325,0.65326065,0.97255456,0.0,0.08820921,0.767971135513676,0.8546362649294246,0.5324246995862538,0.6378243584561712
